City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,machico,32.7,-16.7667,27.29000000000002,88,20,1.54,PT,1697233835
362,novyy urengoy,66.0833,76.6333,1.07000000000005,98,100,4.55,RU,1697233835
363,tughyl,47.7252,84.2063,10.170000000000016,72,94,7.78,KZ,1697233835
364,monforte de lemos,42.5216,-7.5142,15.870000000000005,91,100,0.83,ES,1697233836
365,sandnessjoen,66.0217,12.6316,7.2900000000000205,61,40,6.69,NO,1697233836
366,lewistown,40.5992,-77.5714,16.670000000000016,48,0,2.57,US,1697233836
367,san patricio,28.017,-97.5169,32.97000000000003,47,28,1.83,US,1697233836
368,bel ombre,-4.6167,55.4167,26.910000000000025,89,40,2.06,SC,1697233836
369,kayar,14.9192,-17.1211,25.53000000000003,87,91,6.63,SN,1697233837
370,lazaro cardenas,17.9583,-102.2,28.900000000000034,77,41,3.92,MX,1697233837
371,erenhot,43.6475,111.9767,8.57000000000005,31,0,3.56,CN,1697233837
372,porto novo,6.4965,2.6036,26.900000000000034,88,99,1.8,BJ,1697233837
373,n'zeto,-7.2312,12.8666,25.05000000000001,85,23,4.4,AO,1697233838
374,bereznik,62.8551,42.7072,3.3700000000000045,85,99,5.42,RU,1697233838
375,khadan khak,30.7477,67.7085,14.670000000000016,43,21,3.98,PK,1697233838
376,at taraf,25.3628,49.725,27.30000000000001,41,0,1.8,SA,1697233838
377,riviere-du-loup,47.8304,-69.5342,9.490000000000009,93,94,2.57,CA,1697233839
378,salinopolis,-0.6136,-47.3561,27.480000000000018,81,63,6.03,BR,1697233748
379,antsiranana,-12.2787,49.2917,24.07000000000005,89,76,3.73,MG,1697233839
380,ilhabela,-23.7781,-45.3581,19.340000000000032,90,100,3.34,BR,1697233839
381,broome,42.2506,-75.833,12.550000000000011,73,53,1.34,US,1697233839
382,kingscliff,-28.2667,153.5667,22.650000000000034,60,86,4.63,AU,1697233840
383,chipata,-13.6333,32.65,25.110000000000014,33,33,2.2,ZM,1697233840
384,teningen,48.1295,7.8121,24.970000000000027,34,52,5.96,DE,1697233840
385,dunedin,-45.8742,170.5036,18.370000000000005,56,63,2.68,NZ,1697233840
386,murzuq,25.9155,13.9184,22.950000000000045,30,0,3.73,LY,1697233841
387,whangarei,-35.7317,174.3239,17.83000000000004,53,7,2.84,NZ,1697233841
